FAO_name,exclude,alias,Taxon_code,family
[Chondracanthus chamissoi],0,NA,AL,Algae
[Porphyra columbina],0,NA,AL,Algae
[Spirulina maxima],1,NA,AL,Algae
Aquatic plants nei,1,NA,AL,Algae
Babberlocks,0,NA,AL,Algae
Bright green nori,0,NA,AL,Algae
Dark green nori,0,NA,AL,Algae
Sea lettuces nei,0,NA,AL,Algae
Brown seaweeds,0,NA,AL,Algae
Caulerpa seaweeds,0,NA,AL,Algae
[Meristotheca senegalense],0,NA,AL,Algae
Dulse,0,NA,AL,Algae
Elkhorn sea moss,1,NA,AL,Algae
Eucheuma seaweeds nei,1,NA,AL,Algae
Fragile codium,1,NA,AL,Algae
Fusiform sargassum,0,NA,AL,Algae
Gelidium seaweeds,1,NA,AL,Algae
Giant kelp,1,NA,AL,Algae
Gracilaria seaweeds,1,NA,AL,Algae
Green laver,0,NA,AL,Algae
Harpoon seaweeds,1,NA,AL,Algae
Japanese isinglass,1,NA,AL,Algae
Japanese kelp,0,NA,AL,Algae
Kelp nei,1,NA,AL,Algae
Laver (Nori),0,NA,AL,Algae
Mozuku,0,NA,AL,Algae
Nori nei,0,NA,AL,Algae
Red seaweeds,1,NA,AL,Algae
Sea belt,1,NA,AL,Algae
Seaweeds nei,0,NA,AL,Algae
Spiny eucheuma,1,NA,AL,Algae
Tangle,1,NA,AL,Algae
Wakame,0,NA,AL,Algae
Wakame nei,0,NA,AL,Algae
Warty gracilaria,1,NA,AL,Algae
Giant kelps nei,1,NA,AL,Algae
Green seaweeds,1,NA,AL,Algae
Coarse seagrape,0,NA,AL,Algae
[Sargassum spp],1,NA,AL,Algae
Spirulina nei,1,NA,AL,Algae
[Dunaliella salina],1,NA,AL,Algae
[Capsosiphon fulvescens],1,NA,AL,Algae
Slender wart weed,1,NA ,AL,Algae
Abalones nei,0,NA,GAST,Haliotidae
American cupped oyster,0,Cupped oysters nei,BI,Ostreidae
Anadara clams nei,0,"Clams, etc. nei",BI,Arcidae
Australian mussel,0,NA,BI,Hyriidae
Banded carpet shell,0,NA,BI,Veneridae
Bear paw clam,0,NA,BI,Cardiidae
Black ark,0,blood cockle,BI,Arcidae
Blacklip abalone,0,NA,BI,Haliotidae
Blacklip pearl oyster,0,NA,BI,Pteriidae
Blood cockle,0,NA,BI,Arcidae
Blue mussel,0,NA,BI,Mytilidae
Butter clam,0,NA,BI,Arcidae
Carpet shells nei,0,NA,BI,Veneridae
Chilean flat oyster,0,Flat oysters nei,BI,Pteriidae
Chilean mussel,0,NA,BI,Mytilidae
Cholga mussel,0,NA,BI,Mytilidae
Choro mussel,0,NA,BI,Mytilidae
"Clams, etc. nei",0,NA,BI,Veneridae
Cockles nei,0,NA,BI,Cardiidae
Common edible cockle,0,NA,BI,Cardiidae
Constricted tagelus,1,NA,BI,Pharidae
Cortez oyster,0,NA,BI,Ostreidae
Crocus giant clam,0,NA,BI,Veneridae
Cupped oysters nei,0,NA,BI,Ostreidae
Diphos sanguin,0,"Clams, etc. nei",BI,Veneridae
Donax clams,0,"Clams, etc. nei",BI,Donacidae
Elongate giant clam,0,NA,BI,Cardiidae
European flat oyster,0,NA,BI,Ostreidae
False abalone,0,NA,GAST,Haliotidae
Flat and cupped oysters nei,0,NA,BI,Ostreidae
Flat oysters nei,0,NA,BI,Ostreidae
Fluted giant clam,0,NA,BI,Cardiidae
Gasar cupped oyster,0,NA,BI,Ostreidae
Gastropods nei,0,NA,GAST,Gastropoda
Giant clam,0,NA,BI,Cardiidae
Giant clams nei,0,"Clams, etc. nei",BI,Cardiidae
Globose clam,0,NA,BI,Cardiidae
Golden carpet shell,0,NA,BI,Veneridae
Grand ark,0,"Clams, etc. nei",BI,Arcidae
Great Atlantic scallop,0,NA,BI,Pectinidae
Green mussel,0,NA,BI,Mytilidae
Grooved carpet shell,0,NA,BI,Veneridae
Hooded oyster,0,NA,BI,Ostreidae
Horned turban,0,NA,GAST,Turbinidae
Horse mussels nei,0,Sea mussels nei,BI,Mytilidae
Indian backwater oyster,0,NA,BI,Ostreidae
Inflated ark,0,NA,BI,Arcidae
Half-crenated ark,0,"Clams, etc. nei",BI,Arcidae
Japanese abalone,0,NA,GAST,Haliotidae
Japanese carpet shell,0,NA,BI,Veneridae
Japanese hard clam,0,NA,BI,Veneridae
Korean mussel,0,NA,BI,Mytilidae
Mangrove cupped oyster,0,Cupped oysters nei,BI,Ostreidae
Mediterranean mussel,0,NA,BI,Mytilidae
New Zealand mussel,0,NA,BI,Mytilidae
Northern quahog(=Hard clam),0,NA,BI,Veneridae
Olympia oyster,0,NA,BI,Ostreidae
Oriental cyclina,1,NA,BI,Veneridae
Pacific calico scallop,0,NA,BI,Pectinidae
Pacific cupped oyster,0,NA,BI,Ostreidae
Pacific geoduck,0,NA,BI,Hiatellidae
Pacific horse clam,0,NA,BI,Mactridae
Pacific lion's paw,0,NA,BI,Pectinidae
Pacific littleneck clam,0,NA,BI,Veneridae
Pearl oyster shells nei,0,NA,BI,Pteriidae
Pen shells nei,0,NA,BI,Pinnidae
Penguin wing oyster,0,NA,BI,Pteriidae
Peppery furrow,0,NA,BI,Semelidae
Periwinkles nei,0,NA,GAST,Littorinidae
Perlemoen abalone,0,NA,GAST,Haliotidae
Peruvian calico scallop,0,Scallops nei,BI,Pectinidae
Pod razor shell,0,NA,BI,Pharidae
Pullet carpet shell,0,NA,BI,Veneridae
Queen conch,0,NA,GAST,Strombidae
Queen scallop,0,NA,BI,Pectinidae
Red abalone,0,NA,GAST,Haliotidae
River Plata mussel,1,NA,BI,Mytilidae
Rooster venus,0,NA,BI,Veneridae
Sand gaper,0,NA,BI,Myidae
Scallops nei,0,NA,BI,Pectinidae
Sea mussels nei,0,NA,BI,Mytilidae
Sea snails,0,NA,GAST,Liparidae
Slipper cupped oyster,0,Cupped oysters nei,BI,Ostreidae
Smooth giant clam,0,NA,BI,Cardiidae
Smooth mactra,0,NA,BI,Mactridae
Solen razor clams nei,0,"Clams, etc. nei",BI,Soleidae
South American rock mussel,0,NA,BI,Mytilidae
Southern Australia scallop,0,NA,BI,Pectinidae
Striped venus,0,NA,BI,Veneridae
Stromboid conchs nei,0,NA,GAST,Strombidae
Sydney cupped oyster,0,Cupped oysters nei,BI,Ostreidae
Tuberculate abalone,0,NA,GAST,Haliotidae
Variegated scallop,0,NA,BI,Pectinidae
Venus clams nei,0,"Clams, etc. nei",BI,Veneridae
Warty venus,0,NA,BI,Veneridae
Yesso scallop,0,NA,BI,Pectinidae
Great Mediterranean scallop,0,NA,BI,Pectinidae
Pacific asaphis,0,NA,BI,Veneridae
Rough turban,0,NA,GAST,Turbinidae
Broad geloina,0,NA,BI,Arcidae
Rainbow abalone,0,NA,GAST,Haliotidae
Olive green cockle,0,NA,BI,Cardiidae
Common cuttlefish,0,NA,CEPH,Sepiidae
Octopuses nei,0,NA,CEPH,Octopodidae
"Octopuses, etc. nei",0,NA,CEPH,Octopodidae
Blue crab,0,NA,CRUST,Portunidae
Blue swimming crab,0,NA,CRUST,Portunidae
Callinectes swimcrabs nei,0,NA,CRUST,Portunidae
Flathead lobster,0,NA,CRUST,Scyllaridae
Gazami crab,0,NA,CRUST,Portunidae
Green crab,0,NA,CRUST,Portunidae
Indo-Pacific swamp crab,0,NA,CRUST,Portunidae
Japanese spiny lobster,0,NA,CRUST,Palinuridae
Marine crabs nei,0,NA,CRUST,Portunidae
Marine crustaceans nei,0,NA,CRUST,Crustaceans
Mud spiny lobster,0,NA,CRUST,Palinuridae
Natantian decapods nei,0,NA,CRUST,Sergestidae
Orange mud crab,0,NA,CRUST,Portunidae
Palinurid spiny lobsters nei,0,NA,CRUST,Palinuridae
Portunus swimcrabs nei,0,NA,CRUST,Portunidae
Spinous spider crab,0,NA,CRUST,Portunidae
Spiny lobsters nei,0,NA,CRUST,Palinuridae
"Swimming crabs, etc. nei",0,NA,CRUST,Portunidae
Tropical spiny lobsters nei,0,NA,CRUST,Palinuridae
Mediterranean shore crab,0,NA,CRUST,Portunidae
Caribbean spiny lobster,0,NA,CRUST,Palinuridae
Green mud crab,0,NA,CRUST,Portunidae
[Boleophthalmus pectinirostris],1,NA,F,Gobiidae
[Solea spp],0,NA,F,Soleidae
Amberjacks nei,0,NA,F,Carangidae
Arctic char,0,NA,F,Salmonidae
Areolate grouper,0,Groupers nei,F,Serranidae
Atipa,1,NA,F,Eusiridae
Atlantic bluefin tuna,0,NA,F,Scombridae
Atlantic cod,0,NA,F,Gadidae
Atlantic halibut,0,NA,F,Pleuronectidae
Atlantic salmon,0,NA,F,Salmonidae
Atlantic spadefish,1,NA,F,Ephippidae
Atlantic wolffish,0,NA,F,Anarhichadidae
Bagrid catfish,1,NA,F,Bagridae
North African catfish,1,NA,F,Clariidae
Ballan wrasse,0,NA,F,Labridae
Barramundi(=Giant seaperch),0,NA,F,Latidae
Bastard halibut,0,NA,F,Paralichthyidae
Bastard halibuts nei,0,NA,F,Paralichthyidae
Big-scale sand smelt,0,Silversides(=Sand smelts) nei,F,Atherinidae
Bigeye trevally,0,NA,F,Carangidae
Bighead carp,1,NA,F,Cyprinidae
Black bullhead,1,NA,F,Ictaluridae
Black catfishes nei,1,NA,F,Ictaluridae
Black grouper,0,Groupers nei,F,Serranidae
Black seabass,0,Seabasses nei,F,Serranidae
Blackchin tilapia,1,NA,F,Cichlidae
Blackhead seabream,0,NA,F,Sparidae
Blackspot(=red) seabream,0,NA,F,Sparidae
Twobar seabream,0,NA,F,Sparidae
Blue tilapia,1,NA,F,Cichlidae
Bluefish,0,NA,F,Kyphosidae
Bluegill,1,NA,F,Centrarchidae
Bluespot mullet,0,NA,F,Mugilidae
Brill,0,NA,F,Amaryllidaceae
Brown meagre,0,NA,F,Sciaenidae
Brown-marbled grouper,0,Groupers nei,F,Serranidae
Chars nei,0,NA,F,Delphacidae
Chinook(=Spring=King) salmon,0,NA,F,Salmonidae
Pink(=Humpback) salmon,0,NA,F,Salmonidae
Chum(=Keta=Dog) salmon,0,NA,F,Salmonidae
Cobia,0,NA,F,Curculionidae
Coho(=Silver) salmon,0,NA,F,Salmonidae
Common carp,1,NA,F,Poaceae
Common dentex,0,NA,F,Sparidae
Common pandora,0,NA,F,Sparidae
Common snook,0,NA,F,Centropomidae
Common sole,0,NA,F,Soleidae
Common two-banded seabream,0,NA,F,Sparidae
Crevalle jack,0,NA,F,Carangidae
Crimson seabream,0,NA,F,Sparidae
"Croakers, drums nei",0,NA,F,Sciaenidae
Cyprinids nei,1,NA,F,Cyprinidae
Daggertooth pike conger,0,NA,F,Muraenesocidae
Dotted gizzard shad,0,NA,F,Clupeidae
Drums nei,0,NA,F,Sciaenidae
European eel,0,NA,F,Anguillidae
European flounder,0,NA,F,Pleuronectidae
European seabass,0,NA,F,Moronidae
European whitefish,0,NA,F,Salmonidae
Filefishes nei,0,NA,F,Monacanthidae
"Filefishes, leatherjackets nei",0,NA,F,Monacanthidae
Finfishes nei,0,NA,F,Chaunacidae
Flatfishes nei,0,NA,F,Citharidae
Flathead grey mullet,0,NA,F,Mugilidae
Florida pompano,0,NA,F,Carangidae
Fourfinger threadfin,0,NA,F,Polynemidae
Freshwater fishes nei,1,NA,F,Fish
Freshwater siluroids nei,1,NA,F,Siluridae
Giant grouper,0,Groupers nei,F,Serranidae
"Tiger-dragon grouper, hybrid",0,Groupers nei,F,Serranidae
Gilthead seabream,0,NA,F,Sparidae
Gobies nei,0,NA,F,Gobiidae
Golden trevally,0,NA,F,Carangidae
Goldlined seabream,0,NA,F,Sparidae
Goldsilk seabream,0,NA,F,Sparidae
Grass carp(=White amur),1,NA,F,Cyprinidae
Greasy grouper,0,Groupers nei,F,Serranidae
Great blue spotted mudskipper,1,NA,F,Gobiidae
Greater amberjack,0,NA,F,Carangidae
Green humphead parrotfish,0,NA,F,Scaridae
Groundfishes nei,0,NA,F,Fish
Groupers nei,0,NA,F,Serranidae
"Groupers, seabasses nei",0,NA,F,Serranidae
"Gudgeons, sleepers nei",0,NA,F,Ptereleotridae
Haddock,0,NA,F,Rutaceae
Hong Kong grouper,0,Groupers nei,F,Serranidae
Humpback grouper,0,Groupers nei,F,Serranidae
Indonesian snakehead,0,NA,F,Channidae
"Jacks, crevalles nei",0,NA,F,Carangidae
Japanese amberjack,0,NA,F,Carangidae
Japanese eel,0,NA,F,Anguillidae
Japanese jack mackerel,0,NA,F,Carangidae
Japanese meagre,0,NA,F,Sciaenidae
Japanese seabass,0,Seabasses nei,F,Lateolabracidae
Japanese seabream,0,NA,F,Sparidae
John's snapper,0,NA,F,Lutjanidae
Korean rockfish,0,NA,F,Sebastidae
Large yellow croaker,0,NA,F,Sciaenidae
Largemouth black bass,0,Seabasses nei,F,Centrarchidae
Lebranche mullet,0,NA,F,Mugilidae
Lefteye flounders nei,0,NA,F,Bothidae
Longfin yellowtail,0,NA,F,Carangidae
Mackerels nei,0,NA,F,Scombridae
Malabar grouper,0,Groupers nei,F,Serranidae
Malabar trevally,0,NA,F,Carangidae
Mangrove red snapper,0,Snappers nei,F,Lutjanidae
Marble goby,0,Gobies nei,F,Butidae
Marbled spinefoot,0,NA,F,Siganidae
Marine fishes nei,0,NA,F,Fish
Masu(=Cherry) salmon,0,NA,F,Salmonidae
Meagre,0,NA,F,Sciaenidae
Metapenaeus shrimps nei,0,NA,F,Penaeidae
Mi-iuy (brown) croaker,0,NA,F,Sciaenidae
Milkfish,0,NA,F,Chanidae
Mojarras(=Silver-biddies) nei,0,NA,F,Cichlidae
Mozambique tilapia,1,NA,F,Cichlidae
Mullets nei,0,NA,F,Apogonidae
[Mugil spp],0,NA,F,Mugilidae
Nile perch,1,NA,F,Centropomidae
Nile tilapia,1,NA,F,Cichlidae
Okhotsk atka mackerel,0,NA,F,Hexagrammidae
Orange-spotted grouper,0,Groupers nei,F,Serranidae
Orbicular batfish,1,NA,F,Ephippidae
Pacific bluefin tuna,0,NA,F,Scombridae
Pangas catfishes nei,1,NA,F,Pangasiidae
Papuan black snapper,0,Snappers nei,F,Lutjanidae
Pargo breams nei,0,NA,F,Sparidae
Percoids nei,0,NA,F,Percoidea
Pollack,0,NA,F,Gadidae
Pompano,0,NA,F,Carangidae
Pompanos nei,0,NA,F,Carangidae
"Porgies, seabreams nei",0,NA,F,Sparidae
Rainbow trout,0,NA,F,Salmonidae
Red drum,0,NA,F,Sciaenidae
Red porgy,0,NA,F,Sparidae
Red swamp crawfish,1,NA,F,Cambaridae
Righteye flounders nei,0,NA,F,Pleuronectidae
River eels nei,1,NA,F,Anguillidae
Russell's snapper,0,Snappers nei,F,Lutjanidae
Sabaki tilapia,1,NA,F,Cichlidae
Salmonids nei,0,NA,F,Salmonidae
Salmonoids nei,0,NA,F,Salmonidae
Sargo breams nei,0,NA,F,Sparidae
Scats,0,NA,F,Rhinoprenidae
Sciaenas nei,0,NA,F,Sciaenidae
"Scorpionfishes, redfishes nei",0,NA,F,Scorpaenidae
Gulf snailfish,0,NA,F,Liparidae
Sea trout,0,NA,F,Sciaenidae
Seabasses nei,0,NA,F,Serranidae
Senegalese sole,0,NA,F,Soleidae
Sharpsnout seabream,0,NA,F,Sparidae
Shi drum,0,NA,F,Sciaenidae
Short-finned eel,1,NA,F,Anguillidae
Silver barb,1,NA,F,Cyprinidae
Silver carp,1,NA,F,Cyprinidae
Silver seabream,1,NA,F,Sparidae
Silversides(=Sand smelts) nei,1,NA,F,Atherinidae
Sixfinger threadfin,0,NA,F,Polynemidae
Snappers nei,0,NA,F,Lutjanidae
"Snappers, jobfishes nei",0,NA,F,Lutjanidae
Snooks(=Robalos) nei,0,NA,F,Centropomidae
Snubnose pompano,0,NA,F,Carangidae
So-iuy mullet,0,NA,F,Mugilidae
Sobaity seabream,0,NA,F,Sparidae
Sockeye(=Red) salmon,0,NA,F,Salmonidae
Soles nei,0,NA,F,Achiridae
Southern bluefin tuna,0,NA,F,Scombridae
Spinefeet(=Rabbitfishes) nei,0,Metapenaeus shrimps nei,F,Siganidae
Spotted coralgrouper,0,Groupers nei,F,Serranidae
Spotted rose snapper,0,Snappers nei,F,Lutjanidae
Spotted seabass,0,Seabasses nei,F,Serranidae
Spotted wolffish,0,NA,F,Anarhichadidae
Squaretail mullet,0,NA,F,Mugilidae
Streaked spinefoot,0,NA,F,Siganidae
"Striped bass, hybrid",0,Seabasses nei,F,Moronidae
Sturgeons nei,0,NA,F,Acipenseridae
Tarpon,0,NA,F,Centropomidae
Thinlip grey mullet,0,NA,F,Mugilidae
Tiger pufferfish,0,NA,F,Tetraodontidae
Tilapias nei,1,NA,F,Cichlidae
Torpedo-shaped catfishes nei,1,NA,F,Ictaluridae
Trumpet emperor,0,NA,F,Lethrinidae
Turbot,0,NA,F,Chernetidae
Two-spot red snapper,0,Snappers nei,F,Lutjanidae
Waigieu seaperch,0,NA,F,Latidae
White seabream,0,NA,F,Sparidae
White trevally,0,NA,F,Carangidae
White-spotted spinefoot,0,NA,F,Siganidae
Whitemouth croaker,0,NA,F,Sciaenidae
Yellowback seabream,0,NA,F,Sparidae
Yellowfin seabream,0,NA,F,Sparidae
Yellowfin tuna,0,NA,F,Scombridae
Longrayed whiptail,0,NA,F,Macrouridae
Yellowtail amberjack,0,NA,F,Carangidae
Beluga,0,NA,F,Monodontidae
Striped bass,0,Seabasses nei,F,Moronidae
Pink dentex,0,NA,F,Sparidae
Trouts nei,0,NA,F,Sciaenidae
Pufferfishes nei,0,NA,F,Tetraodontidae
Emperor red snapper,0,Snappers nei,F,Lutjanidae
Giant trevally,0,NA,F,Carangidae
Starry sturgeon,0,Sturgeons nei,F,Acipenseridae
Speckled longfin eel,0,NA,F,Anguillidae
Malabar blood snapper,0,NA,F,Lutjanidae
Crimson snapper,0,NA,F,Lutjanidae
[Oplegnathus fasciatus],0,NA,F,Oplegnathidae
Convict grouper,0,groupers nei,F,Serranidae
Jack and horse mackerels nei,0,NA,F,Carangidae
Pacific chub mackerel,0,NA,F,Scombridae
Potato grouper,0,groupers nei,F,Serranidae
Bluespotted seabream,0,NA,F,Sparidae
Redbanded seabream,0,NA,F,Sparidae
Aquatic invertebrates nei,0,NA,INV,Invertabrates
Marine molluscs nei,0,NA,GAST,Mollusca
[Trochita spp],1,NA,GAST,Calyptraeidae
Japanese sea cucumber,0,NA,NS-INV,Stichopodidae
Jellyfishes nei,0,NA,NS-INV,Cassiopeidae
Sand fish,1,NA,NS-INV,Holothuriidae
Sandfish,1,NA,NS-INV,Trichodontidae
Sea cucumbers nei,0,NA,NS-INV,Cucumriidae
American bull frog,0,NA,OTHER,Ranidae
Green turtle,1,NA,OTHER,Cheloniidae
Akiami paste shrimp,0,NA,SH,Sergestidae
Atlantic ditch shrimp,0,NA,SH,Palaemonidae
Baltic prawn,0,NA,SH,Palaemonidae
Banana prawn,0,NA,SH,Penaeidae
Blue shrimp,0,NA,SH,Penaeidae
Brine shrimp,0,NA,SH,Artemiidae
Brown tiger prawn,0,NA,SH,Penaeidae
Caramote prawn,0,NA,SH,Penaeidae
Common prawn,0,NA,SH,Palaemonidae
Eastern king prawn,0,NA,SH,Penaeidae
Eastern school shrimp,0,NA,SH,Penaeidae
Fleshy prawn,0,NA,SH,Penaeidae
Giant river prawn,1,NA,SH,Palaemonidae
Giant tiger prawn,0,NA,SH,Penaeidae
Greasyback shrimp,0,NA,SH,Penaeidae
Green tiger prawn,0,NA,SH,Penaeidae
Indian white prawn,0,NA,SH,Penaeidae
Kuruma prawn,0,NA,SH,Penaeidae
Northern white shrimp,0,NA,SH,Penaeidae
Palaemonid shrimps nei,0,NA,SH,Palaemonidae
Penaeus shrimps nei,0,NA,SH,Penaeidae
Redtail prawn,0,NA,SH,Penaeidae
Southern white shrimp,0,NA,SH,Penaeidae
Speckled shrimp,0,NA,SH,Penaeidae
Whiteleg shrimp,0,NA,SH,Penaeidae
Red bait,0,NA,TUN,Pyuridae
Sea squirts nei,0,NA,TUN,Pyuridae
Red oyas,0,NA,TUN,Pyuridae
Sea urchins nei,0,NA,URCH,Strongylocentrotidae
Stony sea urchin,0,Sea urchins nei,URCH,Parechinidae